PROMOTIONDESC,New_Value,Category
FIRST TIME BUYER,FIRST TIME BUYER,FTB
TRANSPORTER C CATEGORY,TRANSPORTER C CATEGORY,Transporter
TRANSPORTER A CATEGORY,TRANSPORTER A CATEGORY,Transporter
CAPTIVE D CATEGORY,CAPTIVE D CATEGORY,Captive
TRANSPORTER B CATEGORY,TRANSPORTER B CATEGORY,Transporter
FIRST TIME USER,FIRST TIME USER,FTU
Bus Operator - Retail Small Operators,Bus Operator - Retail Small Operators,Bus
TRANSPORTER D CATEGORY,TRANSPORTER D CATEGORY,Transporter
Bus Operator - Strategic,Bus Operator - Strategic,Bus
TRANSPORTER,TRANSPORTER,Transporter
Bus Operator - Retail,Bus Operator - Retail,Bus
AIB Small Commercial Vehicles 2,Small Commercial Vehicles 2,SCV
FARMERS,FARMERS,Farmers
Captive B,Captive B,Captive
AIB FTU (first time user),FIRST TIME USER,FTU
Small Commercial Vehicles 2,Small Commercial Vehicles 2,SCV
AIB Small Commercial Vehicles 1,Small Commercial Vehicles 1,SCV
Captive C,Captive C,Captive
SCHOOL C CATEGORY,SCHOOL C CATEGORY,School
AIB Transporter D,TRANSPORTER D CATEGORY,Transporter
AIB FTB (first time buyer),FIRST TIME BUYER,FTB
AIB Captive D,CAPTIVE D CATEGORY,Captive
Small Commercial Vehicles 1,Small Commercial Vehicles 1,SCV
AIB Transporter C,TRANSPORTER C CATEGORY,Transporter
LCV,LCV,LCV
AIB Small Commercial Vehicles,SMALL COMMERCIAL VEHICLES,SCV
AIB SCV Farmer,FARMERS,Farmers
SCHOOL A CATEGORY,School A,School
SMALL COMMERCIAL VEHICLES,SMALL COMMERCIAL VEHICLES,SCV
SCHOOL B CATEGORY,SCHOOL B CATEGORY,School
RETAIL CAPTIVE,RETAIL CAPTIVE,Captive
CAPTIVE A CATEGORY,Captive A,Captive
CAPTIVE C CATEGORY,Captive C,Captive
CAPTIVE B CATEGORY,Captive B,Captive
AIB Light Commercial Vehicles,LCV,LCV
FTBTrailers first time buyer Trailers,FTB - Trailer,FTB
Light Commercial Vehicles-NEW,LCV -New,LCV
FTU Trailers first time user Trailers,FTU - Trailer,FTU
Small Commercial Vehicles -Retail,Small Commercial Vehicles -Retail,SCV
Light Commercial Vehicles-NEW2,Light Commercial Vehicles-NEW2,LCV
AIB Small Commercial Vehicles-Retail,Small Commercial Vehicles -Retail,SCV
Light Commercial Vehicles-NEW1,Light Commercial Vehicles-NEW1,LCV
AIB Light Commercial Vehicles-NEW2,Light Commercial Vehicles-NEW2,LCV
School A,School A,School
School D,School D,School
AIB Captive C,Captive C,Captive
AIB Light Commercial Vehicles-NEW1,Light Commercial Vehicles-NEW1,LCV
AIB FTB first time buyer,FIRST TIME BUYER,FTB
Captive A,Captive A,Captive
AIB Light Commercial Vehicles-NEW3,Light Commercial Vehicles-NEW3,LCV
Light Commercial Vehicles-NEW3,Light Commercial Vehicles-NEW3,LCV
AIB Light Commercial Vehicles-NEW,LCV -New,LCV
Light Commercial Vehicles Farmer,Light Commercial Vehicles Farmer,Farmers
AIB School A,School A,School
AIB School C,SCHOOL C CATEGORY,School
AIB Bus Operator - Retail Small Operators,Bus Operator - Retail Small Operators,Bus
FTB first time buyer,FIRST TIME BUYER,FTB
FTU first time user,FIRST TIME USER,FTU
Light Commercial Vehicles,LCV,LCV
AIB Light Commercial Vehicles Farmer,Light Commercial Vehicles Farmer,Farmers
Transporter D,TRANSPORTER D CATEGORY,Transporter
AIB Bus Operator - Retail,Bus Operator - Retail,Bus
AIB Transporter B,TRANSPORTER B CATEGORY,Transporter
FTB  Trailers first time buyer Trailers,34759836344,FTB
